ftype,bid,bname,city
Italian,--AKjxBmhm9DWrh-e0hTOw,Grigio,Laval
Chinese,--BlvDO_RG2yElKu9XA1_g,"Asian Island",Scottsdale
"Japanese and Korean",--BlvDO_RG2yElKu9XA1_g,"Asian Island",Scottsdale
"Comfort Food",--jFTZmywe7StuZ2hEjxyA,Subway,"Las Vegas"
"American and British",--pOlFxITWnhzc7SHSIP0A,"Block & Grinder",Charlotte
Chinese,--qeSYxyn62mMjWvznNTdg,"Panda Express","Casa Grande"
"Comfort Food",--qeSYxyn62mMjWvznNTdg,"Panda Express","Casa Grande"
"American and British",--UE_y6auTgq3FXlvUMkbw,"Ritters Diner",Pittsburgh
"Comfort Food",--Y_2lDOtVDioX5bwF6GIw,"Buck & Badger",Madison
Chinese,--zgHBiQpr8H2ZqSdGmguQ,"China Star Buffet","Las Vegas"
"American and British",-0GkcDiIgVm0XzDZC8RFOg,"Crane Alley",Urbana
"Comfort Food",-0HGqwlfw3I8nkJyMHxAsQ,McDonald's,Phoenix
"American and British",-0xwm_AwS0d_5rwUprHGuw,"Cup O'Karma",Mesa
"American and British",-1bOb2izeJBZjHC7NWxiPA,"First Watch",Phoenix
"Comfort Food",-1BzcQK-HDA6LVOThHMpsw,"AJ's Pizzeria and Diner",Verona
"Comfort Food",-1ERbsOf9XOC9wGbZYFr7g,"Toros Cantina & Gaming","Las Vegas"
Halal,-1oj6-fkP-iO6OyW8QBqPg,"Jerusalem Middle Eastern Cuisine",Champaign
"Comfort Food",-1qDklczWpxON-3_Nj9NgA,Arby's,Tempe
Chinese,-23t2qOQWj8Kqp-Ijm1BQA,"Mandarin Gourmet",Pittsburgh
"Comfort Food",-27u-98Ugczq_xsNPdcvEg,IHOP,Henderson
French,-2b5uNj_OLmDrWYIQoSjWg,"Yola's Cajun Fried Chicken","San Tan Valley"
"Comfort Food",-2gyHPSL8pJjkSe5Ozzw6Q,Caldero,Scottsdale
Italian,-2n-OHbbwIv3SY8RP9bgTQ,"Maggiano's Little Italy","Las Vegas"
"Comfort Food",-2NCvK5807Nxs9GUb2Eo1g,"Juliana Pizza Family Restaurant",Charlotte
"Comfort Food",-347ffrUUMrn26J2VGf5bA,McDonald's,Henderson
"American and British",-36CwMJZJigqPMYrx9BJzw,"TGI Fridays","Las Vegas"
"Comfort Food",-3fmY6IhikhUQXpiaLgxHA,McDonald's,"Cottage Grove"
"Comfort Food",-3frEL8Vo8kyq4kfgTn0GA,Filiberto's,Chandler
"American and British",-3GT67Nuddlp4E_Udb3GKw,"Skully's Chicken and Fish",Urbana
"Comfort Food",-3Qu8aYgOleRw-OThNPovA,"Sole d' Oro",Karlsruhe
Italian,-3Qu8aYgOleRw-OThNPovA,"Sole d' Oro",Karlsruhe
"Comfort Food",-3rFL_inpK_lRLHpiEn1og,"Burger King",Peoria
"Comfort Food",-3sztqW_An5xm287fMrXyQ,"Rolbetos Mexican Food",Coolidge
Chinese,-3WVw1TNQbPBzaKCaQQ1AQ,"China Chili",Phoenix
"American and British",-4bNlx03GsXzgkHZwTrMaw,"Redbeard's On Sixth",Pittsburgh
"Comfort Food",-4BtfPW3_v092G8pqHrv4w,Wendy's,Chandler
"Comfort Food",-4mNZfAXMd2mxEsD2YRcaQ,McDonald's,"Las Vegas"
"American and British",-4PHmmCt_RmAfaE3sDKW_g,"Mr Roberts",Madison
"Comfort Food",-4PHmmCt_RmAfaE3sDKW_g,"Mr Roberts",Madison
"American and British",-4RFDwrW_OI39zA55FqDpw,"Miracle Mile Delicatessen",Phoenix
"Comfort Food",-4RFDwrW_OI39zA55FqDpw,"Miracle Mile Delicatessen",Phoenix
"Comfort Food",-4THvPKs5M3P2036bJ50GA,"Super Burrito",Henderson
"Comfort Food",-4vjcfGpSB2deqkySrKEsg,"Jalapeño Mexican Grill",Madison
"American and British",-4XBX2pNLrGmRK-7YoXtsg,"Hickory Tavern",Charlotte
"Comfort Food",-584fn2GxYe9sLsgN2WeQA,"Great Links Brewhouse & Grill","Las Vegas"
"Comfort Food",-5biAn5qQYk3X5NYlA98pw,"Birrieria Jalisco","Las Vegas"
French,-5RN56jH78MV2oquLV_G8g,Picasso,"Las Vegas"
Italian,-5xC7s9Ujg5F-3xFXtM_kg,"Benvenuto's Italian Grill",Madison
"Southeast Asian",-61DEHETxmlE5XnJcL6dKw,"Pho Thanh",Dollard-Des-Ormeaux
"Comfort Food",-6GmhSnM8D48JtJkxVAmbA,"Burrito King",Champaign
"American and British",-6j-KVPPX2xKjCruNO2HnQ,"Little Spoon",Charlotte
"Comfort Food",-6j-KVPPX2xKjCruNO2HnQ,"Little Spoon",Charlotte
"American and British",-6JY1T0w4XETux5kGOj84g,"Fox and Hound Smokehouse & Tavern",Charlotte
Italian,-6n29ZcBHteJ9eEexoRQ7g,Sassi,Scottsdale
"American and British",-6ozQS5Mc6xDyGFNLNh7ZA,"Bernardin's Restaurant",Charlotte
"American and British",-6Roo-EHgSdUa4rP3tWyRw,"Mimis Cafe",Chandler
Chinese,-7Pwuxq7C04iKBiE6haISQ,"Tasty Home Kitchen",Waterloo
"Comfort Food",-7PWVPeSkUulZV0KrGysUQ,"El Pollo Loco","Las Vegas"
"Comfort Food",-7smFzvh2E2fOOYs-0Dl8w,"Chipotle Mexican Grill",Mesa
"Southeast Asian",-7ThHN3ESsJ4UUjE6IfpYw,"Pastries N Chaat",Tempe
Chinese,-7XuLxfYwZ9x72mEKXdv0A,"Lin's Golden Chinese Restaurant",Phoenix
"American and British",-8NkeBMgbGX97In5NEZtqA,"Quark's Bar & Restaurant","Las Vegas"
"Comfort Food",-8vrk9UzM2oIey95PZOHuA,KFC,Peoria
Chinese,-8wQB4T-cukbHZGO6etPMA,"Wang's Kitchen",Pittsburgh
"Comfort Food",-8wyZkzfBmCFkMwCGcR4PQ,Pugzie's,Phoenix
"American and British",-9BeUZZ1Jph1pD5qpax21g,"Lucky Lou's Tavern",Charlotte
"Comfort Food",-9iYGbkqom5fpj4iiLjsrA,"Casa Reynoso",Chandler
"American and British",-9pVS__IliMA2aNEYzrQrg,"American Junkie",Scottsdale
"American and British",-9Zy-3vhvOtsY5u2taOfQQ,"Park 51 Cafe",Charlotte
"Japanese and Korean",-a22bjfNCVL0gvKpd6RakA,"Oishii Bento",Pittsburgh
"Comfort Food",-A3i-qtJxTkvTQkXy6h-6A,"Hot Dog On A Stick",Henderson
"Comfort Food",-AAig9FG0s8gYE4f8GfowQ,"Pane Bianco",Phoenix
Italian,-AAig9FG0s8gYE4f8GfowQ,"Pane Bianco",Phoenix
Chinese,-AbU9Uw3Da3VsQJW2pPsDg,"Bombay Palace Restaurant",Montreal
"Comfort Food",-aDuOZelvBHWKh-NrXooow,"Port of Subs",Phoenix
Italian,-agh_pVxtZTaODE-3NAotg,"Bis Restaurant",Montréal
"American and British",-AjqYb-cws0GtZsHTsGQ7w,"Deep Sea Carry-Out",Edinburgh
"American and British",-Am2JVkb7nwvBAUwSugG0A,"Monticello Restaurant",Charlotte
French,-appMO8r0lE0clUwl5b_HA,"La Louisiane",Montréal
Chinese,-AyTKVwnC6sHiwL1I_FfeA,"Dragon Town",Bellevue
"Comfort Food",-A_uV8mQ4pmewj7N7t5OPA,"Two Thin Laddies",Edinburgh
"Comfort Food",-B3bkPTP8jyAs266Dk7VvA,"In-N-Out Burger",Gilbert
"American and British",-b9ZUSmcsGxutDSW1DIbdA,"Double Wide Grill",Pittsburgh
French,-bfARaSSodNvJsh4jkB78w,Pacini,Montréal
Italian,-bfARaSSodNvJsh4jkB78w,Pacini,Montréal
"Comfort Food",-bM4iAhg0-fgDFFC0FipNA,"The Roman Candle Pizzeria",Fitchburg
"Comfort Food",-bm8WT0h2thoAhA_ciXJ3A,"Pizza Silvana",Montréal
"Comfort Food",-BmTlLuabuOD81-_9Q3rvg,Brutopia,Montréal
Italian,-bSXOBQQMFS93NGm5j-VkA,"La Medusa",Karlsruhe
"American and British",-bY4XJM1HrDpsyF1yhabqw,"Sundown Saloon",Madison
"Comfort Food",-b_VjHZmA7-8LVWp6z36VA,"Mim's Burger & Mexican Food",Phoenix
French,-C-d1zn7vllF2sVu09LvxQ,"La P'tite Folie",Edinburgh
"Comfort Food",-CAxtEWbiPIJlpbWq4qz2A,"Tower Pizzeria","Las Vegas"
"Comfort Food",-cFIXmBPqcy363c-Zm0tmw,"Pizza Republic","North Las Vegas"
"American and British",-ci3EPcE8XFOMtp1m-SZdQ,"Goldfinger's Bar & Grill","Las Vegas"
"American and British",-CIZh4JOZuOEbSzLVrAIGw,"Sunrise Casablanca","Las Vegas"
"American and British",-cOzkNEQIdF1g_4o4M-uGw,"Pink Kingdom Cafe",Henderson
"Southeast Asian",-CsJLwHR6eAOTYpHpneurw,"Pho King Kitchen",Scottsdale
"Comfort Food",-cy8EpdXs44iT3FR4En0QA,"Firehouse Subs","Queen Creek"
"Comfort Food",-d1I0dwtCg1IIjnI3DZ38Q,"Susie's Mexican Cafe & Lounge",Phoenix
"American and British",-DGbZCnfEiHUy-ksKeJ72Q,"Starters Sports Bar and Grill",Tempe
"Comfort Food",-dOhouYkZyKQnV45tJ7tKQ,"Bellacino's Pizza and Grinders",Charlotte
"Comfort Food",-Dpp6uTdNmVCrX5GGJhk1w,"Einstein Bros Bagels",Phoenix
"American and British",-DRpMxRhHEKf5awoVpROkQ,"Toby Carvery",Edinburgh
"Japanese and Korean",-DUcJU9z96v4jI3aLtM8ug,"Nagoya Original Sushi Restaurant",Edinburgh
"Japanese and Korean",-dy88UgxJPIAkgVPkoNU-w,"Asiana Sushi",Phoenix
"American and British",-E6bkW2Hv92y7dzbQ8FjhA,"The Red Zone Madison",Madison
"American and British",-E6XYf1ce1NCtV3QQI-3xA,"LongHorn Steakhouse",Mesa
"American and British",-EctXOb3B7T177jGYUhjVA,"Boulders On Broadway",Tempe
"Comfort Food",-eEZHb5r8ZIzFfZAtekg1Q,"Streets of New York",Scottsdale
Italian,-eEZHb5r8ZIzFfZAtekg1Q,"Streets of New York",Scottsdale
"American and British",-Eg63HFPmh89Rl3Rhxixzg,"Hometown Dogs","Fountain Hills"
"Comfort Food",-Eg63HFPmh89Rl3Rhxixzg,"Hometown Dogs","Fountain Hills"
"Comfort Food",-eGTRXRUBYnypv8Jk08nKA,"Tuvalu Coffehouse & Gallery",Verona
French,-ERMB7X_XZvr-XPK32ii4g,"Lola's A Louisiana Kitchen","Las Vegas"
Spanish,-eZUYixS68S8Tn2Z2mT6eA,"Bodega 13",Carefree
"Comfort Food",-f5EhKQb7jPtDl1eYDwV0w,"Domino's Pizza",Phoenix
"American and British",-fA9y44FrK8nTRxjyntfTw,"Charlie D's Catfish & Chicken",Phoenix
"American and British",-ffo-JFhFj2kR6kZL4qYhg,"The Cracked Egg","Las Vegas"
Spanish,-fQ_iOKl9wIYwQtkwc7JJQ,"Miro Spanish Grill",Charlotte
"American and British",-fsCfTYEnJ4s6yStgBnQig,"Farrelli's Cinema Supper Club",Scottsdale
"Comfort Food",-Fwt0yM17CvpDv12ld6mmw,"Village Inn Pizza",Urbana
"Comfort Food",-fyBn3AEb5zFgBJoWcX34Q,"West Cornwall Pasty",Edinburgh
French,-g0zVR9LswlUud9m1eFuUQ,"The Village Coffee Shop","Cave Creek"
"American and British",-G9mzl-6Tj_3P7Hho3xAkA,Skyvue,"West Mifflin"
"Comfort Food",-G9mzl-6Tj_3P7Hho3xAkA,Skyvue,"West Mifflin"
"American and British",-gefwOTDqW9HWGDvWBPSMQ,"Seamus McCaffrey's",Phoenix
"Comfort Food",-GF267VCCEZ7es8pnKxRoA,KFC,"Las Vegas"
Italian,-gJghtHqTCCuLsvLGXaoPg,Fabio's,Edinburgh
"Comfort Food",-Gjw8TpCG0Z6obqS_yA3dQ,"Chilero's Mexican Grill",Mesa
"American and British",-GPiLRLH0MWH6Pjs0WDglg,"Black Angus Steakhouse",Glendale
"American and British",-GR4Dvxhx6ddaDiUICOSFQ,"The Bauer Kitchen",Waterloo
"Comfort Food",-gs5KEyNSERuoG61oPEQrQ,"Deli Planet",Montréal
Chinese,-Gse8l_ec33gkWgotCLsew,"The Magic Wok",Tempe
"Comfort Food",-GT5gGb2PSo8nccOu4TvEQ,"Java U",Montréal
"American and British",-GYx5GAx_-4XEsn7mFwdkA,"Red Robin Gourmet Burgers",Mesa
"Comfort Food",-GYx5GAx_-4XEsn7mFwdkA,"Red Robin Gourmet Burgers",Mesa
"American and British",-GZsHVDlI6wvLsgD1Yaj0g,"The Beat Coffeehouse & Records","Las Vegas"
"American and British",-h-q6zTIdPlkz9BDP11sBg,"Seasons 52",Phoenix
"American and British",-h1WpfgqAmJcJDqyXXJ2og,Fuddruckers,Mesa
"Comfort Food",-h1WpfgqAmJcJDqyXXJ2og,Fuddruckers,Mesa
"Comfort Food",-HK7dIj7Eyx0JsfDzgbFKw,"Jack in the Box",Charlotte
"Comfort Food",-hkMHml0GTrpxc7MD5tSlA,"Mexigrill Express",Vimont
"Comfort Food",-hQ8iZygzi0iiTFUkHgiEA,"Back East Bagels",Tempe
"Comfort Food",-hR0gDq8FD2DJI6eJX7U1A,Smashburger,"Las Vegas"
"American and British",-hv-qqymMDYlpszOzJ2RXw,"The Brass Tap - South End",Charlotte
"Southeast Asian",-hWBlyI2k95yjU-cgwCKJg,"Reign Of Thai",Phoenix
"Comfort Food",-HXchurCMn63IUz46mQ1yg,"The Tattie Shop",Bruntsfield
Chinese,-HYqXOC9BYXHrFW5PPefJQ,"Spicy City","Las Vegas"
"American and British",-hzkQ8YIkExQse3vX0HOcg,"Lil' Mama's Soul Food Cafe",Phoenix
French,-hzkQ8YIkExQse3vX0HOcg,"Lil' Mama's Soul Food Cafe",Phoenix
Chinese,-I2-9X1hbqTUH3XwvPMJjA,"Long Wongs",Chandler
"American and British",-I3Cu9rLQXtL5us5wdy8tA,"Open Range Deli and BBQ","Gold Canyon"
Halal,-I8JegdD-4huAo3z0A_ZhA,"Flame Kabob","Las Vegas"
"Japanese and Korean",-ibQywC1gy8_NdcDIKh9GQ,"Cafe Andamiro",Edinburgh
"Comfort Food",-idwOya5y8TyInuzQhmUvg,"Rock N Ronnie's","Apache Junction"
"Comfort Food",-IEBe1UpCz8-dTAp8_fClw,"Garduno's Margarita Factory & Blue Agave","Paradise Valley"
French,-iErUyidzk-c02Od6GDG2w,"271 West",Kitchener
Italian,-iErUyidzk-c02Od6GDG2w,"271 West",Kitchener
"Comfort Food",-IlEUQpPrX63tu4g356Vgg,"Café Vienne",Montréal
"Comfort Food",-ILeXEbL98YCJ6Me82O7Rg,McDonald's,"Las Vegas"
"Comfort Food",-IM6Y4Z2pZ21xvZl1mHUSA,"Taqueria el Palenque","North Las Vegas"
"American and British",-IpYERO_XHBIaVaWGdmPEg,"City Tavern",Charlotte
"Comfort Food",-iR3xWy3JK_JEhnGWQj9zg,"Las Cazuelas",Surprise
Spanish,-IXOxqxVWVSKTEFQEXq9cg,Mesón,Montréal
"Comfort Food",-j3BF7gOIi-1tAHoFA3WIw,"La Parilla Villa Catering",Phoenix
"Comfort Food",-j7Vu1kzobTtDTlOyL1BAw,"Salad and Go",Gilbert
Italian,-j8QAxujZLMh1GVRuMyF1A,"Ecco Vino",Edinburgh
"Comfort Food",-jbHH3mB9SsSDb8nOGvMSw,"George's Kitchen",Phoenix
"Comfort Food",-jbmBxIHXePbW_0PhqodIQ,"Binion's Horseshoe Deli","Las Vegas"
"Comfort Food",-jBymA8tI-WURtSBcuUdXQ,Schlotzsky's,Mesa
Halal,-JDr48-qoIdHB53femKgzg,Lezzet,Pittsburgh
"Comfort Food",-JdxFX3cjVixeNVyjl8Jug,"Papa Murphy's","Fort Mill"
Italian,-jibxC8uVWAKufpOjjkkqw,"Bottiglia Cucina & Enoteca","Las Vegas"
"Comfort Food",-JL0CWSLkkzFHZXlctnf8A,"Sweet Tomatoes",Tempe
"Comfort Food",-JpZiiGPKOuCEiODGNyovw,Wendy's,Phoenix
"American and British",-K22CWorrReIV_kgLa6dmQ,"Buffalo Wild Wings","Las Vegas"
"Southeast Asian",-K5a0_06H7FYRqqiREHjtA,"Pho 602",Phoenix
"Southeast Asian",-k5md4Iuh3_ZuA_Z6VdZeA,"Thai Touch Kitchen",Pittsburgh
"Southeast Asian",-k6-FfJyc4P1RJMIg5p99g,"Pho Dau Bo",Kitchener
"American and British",-kHm3o9J0b1dO1E0ypJjHQ,"Wildest Drams",Edinburgh
"Comfort Food",-klcXxRui4WSJpi__eV5Ww,"Burger King",Henderson
"Comfort Food",-KSjEAnm5w8TBdRVLVwi9Q,"Los Reyes De La Torta",Tempe
"Comfort Food",-kVXDEqGHOWKxQ3EhvFgVA,"Kokopelli Mexican Grill",Scottsdale
Italian,-KZA7UoULw_pM3jBBUzb8A,"Sardellas Pizza and Wings",Phoenix
"American and British",-lb5532P5eoxMadPPrZVXw,"Wild Bull All American Pub and Grill",Middleton
"Comfort Food",-lb5532P5eoxMadPPrZVXw,"Wild Bull All American Pub and Grill",Middleton
"Comfort Food",-LHHCgIUZy49sUU4j03T2w,"Phat Burrito",Charlotte
Chinese,-Lhy7f1zlTNr08lBiWb_Wg,"Saigon Wok",Karlsruhe
"Southeast Asian",-Lhy7f1zlTNr08lBiWb_Wg,"Saigon Wok",Karlsruhe
"Comfort Food",-LL8qFtRQv3JY-48gs1xlw,Wendy's,"Las Vegas"
"Japanese and Korean",-lM-2nuo2PWM_VbG6h1g1Q,"Kushi Bar Muramoto",Madison
"Comfort Food",-lOSaCuBRAvX5JBifx-EMw,"Mi Amigo's Mexican Grill",Phoenix
Chinese,-LpHtjfDuVqwBXJUOXwqbA,"China House","Las Vegas"
"Japanese and Korean",-LSe47iB69VM1NaipPeRMg,"Onoki Sushi Bar",Charlotte
"Comfort Food",-luJmoJUWtS4iQh7Bbbblw,"HoneyBaked Ham",Glendale
Halal,-m-6hfmsEfNKovsmBfK4cA,"Crazy Shawarma Grill",Cambridge
"Comfort Food",-M1rR1Ip7NOlMn5EbUkuog,McDonald's,Scottsdale
Chinese,-m3sIRU18i8LcXzfY29IjQ,"King's Buffet",Kitchener
"American and British",-M64wmNpuKLB0jCWx0pj7Q,Denny's,"Apache Junction"
"Comfort Food",-MaIpPCz4153Uh1pnzI3AA,Stonegrill,Phoenix
"American and British",-Mf4I8Jr_Vly37Z3Mgf0zQ,"JJ's Sports Cantina",Scottsdale
"Comfort Food",-MFnc3jvLEduvqkOlaylHQ,Wendy's,Chandler
"Comfort Food",-MG7bQfRuJ6pECnnrvd0-Q,Bocci,Lasalle
Italian,-MG7bQfRuJ6pECnnrvd0-Q,Bocci,Lasalle
"American and British",-MgFDby-okrbKLBc-SYWdw,"Red White & Brew",Mesa
"American and British",-Mh44q324VW8mpxIdH_HPw,Spoon,Pittsburgh
"Comfort Food",-MIzeX-TIQh8BLtPDg2F2w,Subway,Savoy
Chinese,-mLcpJYfX8tw8LR9bq018w,"Great Wall",Maricopa
Chinese,-mOOxacLlVpWOmIq9lvJHw,"China Wing",Charlotte
"Japanese and Korean",-mOOxacLlVpWOmIq9lvJHw,"China Wing",Charlotte
Italian,-movHgw5J8_X8l195k_whQ,"Caffè Italia",Montréal
"Comfort Food",-MqmwfVOoHtOrgHB-Mjw2w,"Mar Y Tierra","Las Vegas"
"American and British",-My5TniS3Jk5JxTvxneVqA,"Fire Grill Restaurant & Bar",Saint-Laurent
Chinese,-mz0Zr0Dw6ZASg7_ah1R8A,"Sing High Chop Suey House",Phoenix
"Comfort Food",-n0bDmgCCcculSyHjuTd6A,"Bruegger's Bagels",Pittsburgh
"Comfort Food",-n8BELX8Xd0rCRCGYd05xg,"Port of Subs","Las Vegas"
Italian,-Nanlb7SYXObqQ6dZ49UOg,"Pleasure Bar and Restaurant",Pittsburgh
Chinese,-nbFa-dumLw0v7J2H9L03g,"Lee Cafe","Fort Mill"
"Japanese and Korean",-nbFa-dumLw0v7J2H9L03g,"Lee Cafe","Fort Mill"
"Comfort Food",-Nc6vbO6nXoefulN1Knl9A,"Filiberto's Mexican Food",Phoenix
"Comfort Food",-Nd5eId2iqnFvAMNgRBgpA,"Casa Ramos",Mesa
Chinese,-nHYKkSJuQ7zzFZ1veRfPg,"Little Peking",Phoenix
"American and British",-nmr-3l0EmQaZAGEoXgk4w,"Pacific's Cafe",Scottsdale
"Comfort Food",-NOet8xJLGhX-eUzSIDc2Q,"Firehouse Subs",Phoenix
"Comfort Food",-nO_qj9eP-os3baYyh8eNA,"Pasta Too",Pittsburgh
"Comfort Food",-nRgJjyPsNiPMhBTdTvwrA,"La Bonita Taco Shop","Las Vegas"
"Comfort Food",-ntkzXz9IpDkH588QRzazQ,"Pizza Hut",Madison
Italian,-ntkzXz9IpDkH588QRzazQ,"Pizza Hut",Madison
"Comfort Food",-NvziNlXkm-WNK4TtTs46w,"La Palma Market","Las Vegas"
"Comfort Food",-NXDZfqwfZ9OWba180HqFw,"Tacos Mexico","Las Vegas"
"American and British",-NxrB5o0I8IhAOZfHYDiqQ,"Cafe Fiesta",Henderson
Chinese,-nYnXdVwhVVNUivuV9kI8Q,"Yum Cha","Las Vegas"
Chinese,-O42yadp5Otp2F2DsilaFA,"Mah Jong","Las Vegas"
"American and British",-O7H5LhBkE13VQZB0QZI0Q,"Fat Tuesday",Tempe
"American and British",-O7Szp08dATVv71IuDt1bA,"Times 3 Sports Grille",Glendale
Italian,-odkpokd88CBC5yKwe5RBw,"Mia Za's Italian Cafe",Madison
"Comfort Food",-OfCPTArVfsJy2NrH9J3tA,"PDQ Las Vegas: Sahara","Las Vegas"
"Comfort Food",-Ogv7rpcgUHkFaSy3vD8Sw,"Hong Kong Gourmet Buffet",Phoenix
"Comfort Food",-oHUXBPtf91dhYGy8MLwuA,"Flying Dog",Edinburgh
"Comfort Food",-oTaJYlPRMyJbuDgB5iS7w,"Port of Subs","Las Vegas"
"Comfort Food",-p-9eBYvts8tcalo5IWOKw,"Chipotle Mexican Grill",Scottsdale
"Comfort Food",-p4VPrnWxCkSfsMyCnrVig,"Zappy Pizza",Verdun
Italian,-PcyNcCHU8ZWwf6_PwDbUQ,"Enoteca San Marco","Las Vegas"
"Comfort Food",-PESvVv3rPQFAU1_cZ8_hw,"Chipotle Mexican Grill","Las Vegas"
"American and British",-pJVjm0t4F6sNHo77HlQKA,"The Cove Grill",Chandler
"Comfort Food",-pJVjm0t4F6sNHo77HlQKA,"The Cove Grill",Chandler
"Comfort Food",-PlmrxnB6Wn52ILOAyfyKA,"Burger King",Pittsburgh
"Comfort Food",-pmmu39MjTD0ht6Jjf-gmw,"Pie Five Pizza Co",Matthews
"American and British",-PyniZNMQuB5u99nr6dYVw,"Bourbon Jacks",Phoenix
"Comfort Food",-q-h-xvXosAXAQKqp-Npcg,"Felipito's Mexican Food",Henderson
