ftype,bid,bname,city
"American and British",-qeubUfFjWg3yA02IFxbKQ,"Popeyes Lousiana Kitchen","Las Vegas"
"Comfort Food",-qeubUfFjWg3yA02IFxbKQ,"Popeyes Lousiana Kitchen","Las Vegas"
French,-qeubUfFjWg3yA02IFxbKQ,"Popeyes Lousiana Kitchen","Las Vegas"
"Comfort Food",-QfXaNWrFmuLHnHGjeh_PQ,"Brooklyn Boys Italian Restaurant",Maricopa
Italian,-QfXaNWrFmuLHnHGjeh_PQ,"Brooklyn Boys Italian Restaurant",Maricopa
"American and British",-QMaaz6TS5DGuxyMg8kxQg,"Outpost Saloon","Las Vegas"
"Southeast Asian",-qpbKFpODKgd80Cwkns_3Q,"Jardin Thai",Rosemere
"Southeast Asian",-qRSvG-iJv9hP3OEh_oWyg,"Joy's Restaurant","Las Vegas"
"Japanese and Korean",-qTomwT3ZKHapYevdnWUmw,"Volcano Grille","Las Vegas"
Italian,-r5aq7vjN6lMFDZ4XYErkQ,"Best Billiards","Las Vegas"
"American and British",-R7uChoaVzwNvPNMT1gOuw,"Chicks Restaurant",Charlotte
"American and British",-r8tyHl7sOS6eeyY8LetfA,"Urban Angel",Edinburgh
"American and British",-Rb9vXZjET2PfWMjLzZgvg,"Sonic Drive-In",Gilbert
"Comfort Food",-Rb9vXZjET2PfWMjLzZgvg,"Sonic Drive-In",Gilbert
"American and British",-Rj4yXguyZ06ZMPMmoR9tg,"Keegan's Grill",Chandler
"Comfort Food",-RLbi7dGQJeWhG8xOWatpQ,"Teddy's Deli-Bar",Pointe-Aux-Trembles
Chinese,-RnHetpjoz1mKVNMHfh1qQ,"Empress Court","Las Vegas"
"American and British",-rs3Rufq-9jy8z3eWWNd-Q,"The Birdcage Bar & Restaurant",Musselburgh
"Japanese and Korean",-rSMxn_1dL2CO3DF7YxSEg,"Sayuri Sushi Bar",Tempe
"American and British",-RV4TvjpDTZDH3k3FdBXcw,"LongHorn Steakhouse","West Homestead"
"Comfort Food",-RWF1l9kbp2woe3xoQYeVA,"Jimmy John's","Las Vegas"
"Japanese and Korean",-r_4cKz_A8tj_SkiOL50yQ,"Moko Ramen Bar","Las Vegas"
"Comfort Food",-S7aL8dVIiXjCdbTZVn8uA,"Manhattan Pizzeria and Subshop",Phoenix
"American and British",-s9Vc4QS91I4DUfR9V4VgA,"Putter's Bar & Grill","Las Vegas"
"Comfort Food",-sC66z4SO3tR7nFCjfQwuQ,"Gallo Blanco",Phoenix
Chinese,-SNpLwJNup8N96yq7sBJyw,"Thai Style Noodle House","Las Vegas"
"Southeast Asian",-SNpLwJNup8N96yq7sBJyw,"Thai Style Noodle House","Las Vegas"
"Comfort Food",-sTBvM1pOpZts9dnJ6_5Xw,Subway,Chandler
"Comfort Food",-sV52FN-D-I808tyRPEvwg,"Papa John's Pizza","Las Vegas"
"Comfort Food",-szHsdbd5-J0by2d62T3Hg,"El Pollo Correteado",Phoenix
"American and British",-T8O1amt2U6zp06FH-8n9w,"Yesteryears Goodtime Pub",Charlotte
"Comfort Food",-T9_CiPKq7xxCQQgm6UvYg,"Marco's Pizza","Mint Hill"
"Comfort Food",-taSf0shFSUKy9iCXnySsA,"Italian Village Pizza",Homestead
"Comfort Food",-TcEs-q39n1LC3kJBXZp0w,"Jack In the Box","Cave Creek"
"Comfort Food",-tcf1WSfc2iNRf75AMW6pw,"Uncle Sam's Submarines",Pittsburgh
"American and British",-tCiAYMimz6yQaaXiK7e6Q,"Village Pub & Grill","Las Vegas"
"American and British",-tD1nntnCk629fx3QgR-vQ,"Social Bistro & Wine Bar","Las Vegas"
"Comfort Food",-tD1nntnCk629fx3QgR-vQ,"Social Bistro & Wine Bar","Las Vegas"
Chinese,-tKlJDgHrJDkU7EL9c8f3A,"Jade The Taste of China",Phoenix
"Comfort Food",-tsCj7HZ1TT548bcz8U3ZQ,"Famous Dave's","Las Vegas"
"Comfort Food",-TulfYOMTsrqVVvjJRk4Fg,"Five Guys Burgers and Fries",Phoenix
"American and British",-TWhEt57J_dqStDXIMS1Rg,"Famous Toastery",Concord
"Comfort Food",-TWhEt57J_dqStDXIMS1Rg,"Famous Toastery",Concord
"Comfort Food",-U05UXvQJ1BjTEP1Hj9N-w,Arby's,Henderson
"American and British",-u0m2QhmIUYJU22psWo46Q,"Overlook Grill","Las Vegas"
"Comfort Food",-uEWETyry6mI6Jaq-nfucw,"Hans im Glück",Karlsruhe
"American and British",-uFJg_RQkt4Q7U7IMpRbMg,"Stonegate Bistro",Kitchener
Chinese,-Ug9VCpE6m6Nxb8WJLr38Q,"China MAX",Pineville
"Comfort Food",-uGyt_hSdjy4obBZRhOmRQ,"Sandbar Mexican Grill",Peoria
"American and British",-UHDEY88hqUtrTPWfQ5CgQ,Denny's,Tempe
"Southeast Asian",-uivNvzL-l33iht2QtPFzg,Bindi,Edinburgh
"Comfort Food",-ULJMKOp7_4h63Ry1VSKAg,"4one4 Pizza",Tempe
Chinese,-upCv2hYNASL42f9v7Glpw,"China East","Fort Mill"
Chinese,-UqxkoufE3WGTnLZV9em3w,"Chinatown Inn",Pittsburgh
"Southeast Asian",-urnMsIpIEjgllhwNznREQ,"Kakilima Food Cart",Madison
"Comfort Food",-UT6IHfVW_2yzz1bf8WI5g,Tediberto's,Phoenix
"Southeast Asian",-UuLQM5ZZYv7lpfUhwvbrg,"Emeraude de Bangkok",Dorval
"American and British",-UYjmGUMMVWrOQmhR3kI8g,"Bask On Seaboard",Charlotte
Chinese,-uYu2cA8Z3auYhwtlT-VXg,"Tapioca Thé",Montréal
"Comfort Food",-v31BEquLxeVPgvFHburUQ,"Casa Del Sole Pizza",Aspinwall
"American and British",-v5_76SRmuhFPC283NIAJA,"Lake Vista Cafe",Madison
"Comfort Food",-v8FrfMccLpIzong9XpiuQ,McDonald's,Chandler
"Comfort Food",-vaGR2CXNS4NZrMdctSkGA,"Los Reyes de la Torta",Phoenix
"Comfort Food",-VB2nJHj5AVJjDoSsyYIwA,"Sonic Drive-In",Concord
"American and British",-vF04fhPCoSdqgIhAZm0wQ,"Marc's Sports Grill & Nightlife",Glendale
"American and British",-vHWAsiX0iHWJw-pkqv32Q,"Kona Grill",Chandler
"Japanese and Korean",-vHWAsiX0iHWJw-pkqv32Q,"Kona Grill",Chandler
"American and British",-vI0zsfDrJfTjD7OXoQJvQ,"Bite Bistro",Pittsburgh
"Comfort Food",-VoXcKqQnlhG0Xa9VW62MQ,"Burger King",Scottsdale
"Comfort Food",-Vp12-UIQIh2zeM6SPj9FA,"Prickly Pear Fresh Mexican Grill",Scottsdale
"American and British",-vpPykvF02gMi-uyGAApsQ,"Local Jonny's","Cave Creek"
"Comfort Food",-vrZSpMYKpkahxaZcVGrbA,"Original Rocco's Famous Philly",Mesa
Chinese,-VVLldg7X2mzTXELTakMfA,"P.F. Chang's",Middleton
"American and British",-vVQyTVHitF6TOHGijVXxQ,"Fat Heads Saloon",Pittsburgh
French,-vYXWPTZQ_XI3UZ2IyZ00Q,"Europea Restaurant",Montréal
"Japanese and Korean",-VzSkmCzuoDjYsEqQcPOsw,Akemi,Verdun
"American and British",-w0g2HkH2Ncxbs_QDtsf-A,"Tukee's Sports Grill",Phoenix
Halal,-W3K-9Ea1GmFgeBf6Yxomw,Sheba's,Tempe
"Comfort Food",-W7kIVd5iQj2-jH37ej24w,"Pizza Bella",Madison
"Comfort Food",-WBSpCGGbkg-aeWd1tYOBA,McDonald's,"Las Vegas"
Chinese,-wCSqZ_VFDm7M5A2-quWFA,"Chai Tip's Thai and Chinese","North Las Vegas"
Italian,-wl5HM49RN-B-QpoZpG0DQ,"Mama Theresa's","Fort Mill"
"Southeast Asian",-wPCXTp-dagJvJY_iYzKFQ,"Flamin' Crawfish",Charlotte
"Comfort Food",-wpJFKjwRCcCYIwOxsuh1Q,Sonic,Avondale
"Comfort Food",-wvIPHSn1IaqV6Tb4N_DiA,"Stars Burgers","Indian Trail"
"Comfort Food",-wwJIaO7-diyEqxGwZKVuQ,"Sub Factory",Tempe
"American and British",-WXH-j7_Ugm6phJDdY5bzw,Applebee's,Mesa
Italian,-wYXHorkLFa8dvrR6Ij_gw,"The Italian Spoon",Scottsdale
"American and British",-wZiBWQZgk-n_QlBjVurgw,"All Bar One",Edinburgh
"American and British",-WZIxGXJHMGidZXRhKxP3w,"Mimi's Cafe",Phoenix
"American and British",-X4wXA4iZF3Bl133i7FNYQ,"Ibby's Fish & Chicken",Chandler
"American and British",-XbMPta9b0W2uguaAMsePg,"Chimera Golf Club",Henderson
"Comfort Food",-xBv8p9jzOkMyGlY07FMTA,Subway,Phoenix
"Comfort Food",-xFO1E3OiDMmdqdjwUM_DA,"Los Betos Mexican Food",Scottsdale
"Japanese and Korean",-Xf_QlKWB_oPvQEdVbjSRQ,"Takara 88",Middleton
"Comfort Food",-xK-9VwI0WbIdyme7N_0MA,Antalya,Karlsruhe
Italian,-XKza5Hr4pCDGs-fNy_Xxg,"John's Place",Matthews
"Southeast Asian",-Xl2R863UWrQEyp4dSzMaA,"Coriander India Grill",Pittsburgh
"American and British",-XlBQrxN_ZB3MZKxLBeAjA,"Marie Callender's",Phoenix
"Comfort Food",-XoFkjdXb5ZIXwoZdjJtoQ,"Papa John's Pizza",Scottsdale
"Japanese and Korean",-XQAYmeTFv4MR-M5XAZmWw,"Sushiya Sushi",Gilbert
"Comfort Food",-Xr1SHKJwz9-0V2GHsoAzw,"Restaurant Pacini",Saint-Eustache
Halal,-xTrSwtKCc20GDEYEkCPGw,Solemer,Montréal
"Comfort Food",-xUkX5hO7MrMj9OwqMQ35A,"Cafe Milano",Pittsburgh
Italian,-xUkX5hO7MrMj9OwqMQ35A,"Cafe Milano",Pittsburgh
"Southeast Asian",-XUMQ8i1DFLahHSfbev10A,"Restaurant Tibetan Om",Montréal
"American and British",-xV5z84xxsffee3EjXaxWg,"At 7th Restaurant",Charlotte
"Comfort Food",-xV5z84xxsffee3EjXaxWg,"At 7th Restaurant",Charlotte
"Comfort Food",-XyeFl7GUQTEEnrU4i5EQg,"TIABI Coffee & Waffle","North Las Vegas"
"Comfort Food",-XyuwnlKMcEj-bYJYfOcKQ,McDonald's,Charlotte
"Comfort Food",-Y2PrX3B3TqkhkmhPrQIjA,Uniburger,Montréal
"Comfort Food",-Y2rZMPttQqKXD_XJPQerA,Rubio's,"Casa Grande"
"Comfort Food",-yG3x9Xuv7PX1QSslZiWnQ,"Lefty's Pizza","North Las Vegas"
"Comfort Food",-YgM1XtGcStBpPT_ooNmdw,"Taco Bell","Fort Mill"
"Comfort Food",-YGzPpGSzNGitITP_8ej6Q,"Taco Bell",Charlotte
"Comfort Food",-yPdEze6bYRV2Sm1t4XJhg,Fuddruckers,Phoenix
Italian,-YPRd3iiS7D2DCP6Nt5W6w,"Le Petit Italien",Outremont
"American and British",-ypSXxstO11bNUl2Lhf5KQ,"Sourdough Cafe","Las Vegas"
"Comfort Food",-ypSXxstO11bNUl2Lhf5KQ,"Sourdough Cafe","Las Vegas"
"American and British",-yxfBYGB6SEqszmxJxd97A,"Quiessence Restaurant",Phoenix
Italian,-yxfBYGB6SEqszmxJxd97A,"Quiessence Restaurant",Phoenix
"Comfort Food",-yzl8Zm-MmSqx31VN7vB0Q,Corleone's,Phoenix
"Comfort Food",-Z-I5r3zpDSp1RPFr0A41A,Chick-fil-A,Concord
Italian,-zAzFnDCwBxXG-lVA4aq6g,"Italian Oven Restaurant",Pittsburgh
"American and British",-zcZNlO0JwZHppan8rGkBQ,"Chili's Too",Phoenix
"Comfort Food",-zIIYtZMuFPBXI22kL0KXg,"Times Square To Go","Las Vegas"
"Comfort Food",-zM2KnObDwyUiP9pk7Ykog,"Café Pavé",Montréal
Spanish,-ZMC5MmolT4JqxFsQRUz_Q,"Amanecer Salvadoreno Restaurant","Las Vegas"
"Comfort Food",-zp9i-4tWoyqX8SJE3jI6w,"Black Rock Pizza",Urbana
"Comfort Food",-ZTR_3FFPdFCV9l_Fq_OUA,"Palermo's Pizza","Las Vegas"
"Comfort Food",-zzS9n4EaKMBlHUG6784qw,"My Slice of the Pie Pizzeria",Phoenix
"Comfort Food",-_JBgygYYD_UkuD-GVTp6A,Schlotzsky's,Goodyear
"Comfort Food",-_jLCD1NWODEXfgEAKfUAg,"La Piñata",Phoenix
"Comfort Food",-_MW8aOOA_bJAA2kOv8X2g,"Milio's Sandwiches",Monona
"Southeast Asian",-_UANm0_Ik2_PJwrcPhHIw,"Ta Lew Thai Bistro",Gilbert
Chinese,0-407ZN5bpARlNh9FOHh6Q,"Dinghao Shanghai Bistro",Mesa
"Comfort Food",0-A_cxbEmlkkq0362cvi3A,"Hot Dog Daddy","Cave Creek"
"Comfort Food",0-lJQCSwnHmIczjcSw_N_g,"Kokobelli Bagel Cafe",Mesa
"American and British",0-sdroUNeGuoDt4J-ij3_A,"Logan's Roadhouse",Mesa
French,00bhYDS5z8kMeE1tGwokGA,"The Admiralty",Madison
"American and British",00eGk1ntf4RiDxVRY3gaIw,"Old Chicago",Mesa
"Comfort Food",00eGk1ntf4RiDxVRY3gaIw,"Old Chicago",Mesa
"Comfort Food",00F1t_WeyPx4eQV3kPqv5w,"Ray's Pizza",Surprise
"Comfort Food",00LMJtMir-rfTDOIKFA_jg,"Back Room Burger","Las Vegas"
"Comfort Food",00xD3o61AjrGOpEHiGPEwg,"Taco Shack",Tempe
"American and British",014pkZADThO2BoXFa1tuKg,"Promenade Cafe","Las Vegas"
"Comfort Food",01euuGhBwvcDhl9KcPTang,"El Salsita",Mesa
"Comfort Food",01hHIKQBwJL-GcjpGuBrLA,Bonitas,Glendale
"Comfort Food",02GXtLDFGbDI3GRvxH_znA,"Gili Gulu Chinese Takeaway",Edinburgh
Chinese,02sOq3KVhvbOzFFmkC4Qtw,"Ming Fu",Matthews
"Japanese and Korean",02sOq3KVhvbOzFFmkC4Qtw,"Ming Fu",Matthews
Italian,039MksBX4qnW6v_wOpA2Ew,"Le Ballpark",Montréal
"American and British",03eWcf0c0PciZt_gVATwMw,"Swiss Chalet Rotisserie & Grill",Kitchener
"Comfort Food",03eWcf0c0PciZt_gVATwMw,"Swiss Chalet Rotisserie & Grill",Kitchener
"Japanese and Korean",03IKzXT_2X8qV__BZdnxtA,Okia,Laval
"Comfort Food",03yij332OZ6UNqajNgZsGA,"Babcock Hall Dairy Store",Madison
"Comfort Food",04h3nxtkDfaKsJhrKRHZ-Q,"Taco Bell","Sun Prairie"
"Comfort Food",04HakCR6gEeRYNAoKxkppQ,"Hacienda Restaurant",Phoenix
"Japanese and Korean",04Jrd2zSzwHwmBqdKQDmIw,"Yogis Grill",Mesa
"Comfort Food",04MB_bGvE_XPx2cd-k4b1g,"Alfonso's Mexican Food",Chandler
"Comfort Food",04P3hZHQY4Wq7atYIkJX0Q,"Bea Taco Town",Pittsburgh
"Comfort Food",04SHVStCJ-517oUBKEBjfQ,"Roberto's Taco Shop",Henderson
"Comfort Food",05FJCAvUFOAk8B_nIOqt7A,Legends,Champaign
"Comfort Food",05FkTuKNfebc8BafSAq1Lw,"V3 Flatbread Pizza",Pittsburgh
"Comfort Food",05fTEsjUPVo5jks8PpNKCQ,"Rollin Smoke Barbeque","Las Vegas"
"American and British",05tazaFQt1EnQ_Gk_1AFyg,"Nine Fine Irishmen","Las Vegas"
"American and British",06kfoeRs9Acj82Yl3i9p_w,"Wildflower Bread Company",Gilbert
"Comfort Food",06kfoeRs9Acj82Yl3i9p_w,"Wildflower Bread Company",Gilbert
"Comfort Food",06NjrKnpuwCWQQfKpt4tvQ,"Las Islitas Mariscos","North Las Vegas"
"American and British",06nMzxx50q_S_t7D0camPw,"Bonefish Grill",Mesa
"Southeast Asian",06QAx0Xk6TtOILWtqGcTYw,"Chez Nga",Westmount
"American and British",079g3KpS_7j_Zw53JmD9Vg,"1947 Tavern",Pittsburgh
Spanish,07bUAD_qnrJAXvJou_ls4g,Firefly,"Las Vegas"
"Comfort Food",07cMlpbiOeiR8AP8JR0c_g,"Milio's Sandwiches",Madison
Chinese,07kcENxFQxwVWYiZ5fqlOg,"Da Sheng Chinese Cuisine","Las Vegas"
"Southeast Asian",07OyvsOpqTWuyTtvE4_gcA,"Palee's Crown",Mesa
"American and British",08-gH0F1IGXDDlCYEpDbMg,"Fiddler's Green",Montréal
"Comfort Food",085Y4PZ5Ezvh6SCRzxYF0g,"The Original Graziano's Pizza Restaurant","Las Vegas"
Italian,085Y4PZ5Ezvh6SCRzxYF0g,"The Original Graziano's Pizza Restaurant","Las Vegas"
Chinese,08eBj_o6oTncJR0ylM8qSg,"Rice Garden",Scottsdale
"Comfort Food",08eBj_o6oTncJR0ylM8qSg,"Rice Garden",Scottsdale
"Japanese and Korean",08IFR_ruWR96K3Q6sakI_g,"Sushi Creek","Queen Creek"
"Comfort Food",08In-bFs8JOmSTDlQ0BfFw,"Chuck E Cheese's Pizza",Phoenix
"Southeast Asian",08ke0Orbu5x3mYZPgMadaw,"Sin City Thai Restaurant","Las Vegas"
"Comfort Food",08MvFb65fOz2iET3iRqUOQ,"Arby's Roast Beef",Tempe
"Comfort Food",08mwcGYuwXeADV9eLATRyQ,"Jet's Pizza",Charlotte
French,08NQu7YaKY3m500DS7e5Tw,"Bourbon Street Grill",Glendale
Spanish,08n_s26U9MCCMe-QvEjwiA,"Piri Piri Hochelaga",Montréal
"Comfort Food",08qUHIm3HIFMnkMdS5IYLg,"Barbacoa Kings","Las Vegas"
Chinese,08Ub8lhLx1XocCxSGa7EmQ,"Liu Lius Asian Bistro","Fort Mill"
"Japanese and Korean",08Ub8lhLx1XocCxSGa7EmQ,"Liu Lius Asian Bistro","Fort Mill"
"Comfort Food",08UPumc2Tr3trW8J5SCrow,"El Rancho Mexican Grill",Madison
"Japanese and Korean",098lYL3ZpOayRvk7MbwyLg,"Teriyaki Madness","Las Vegas"
"Comfort Food",09H5iBjLtJCVl76WLW_a9w,"Toscana Osteria",Glendale
Italian,09H5iBjLtJCVl76WLW_a9w,"Toscana Osteria",Glendale
"American and British",09nlgfIqh29b_zVXPdmySg,"T.G.I. Friday's",Mesa
Chinese,09r7xwM1OTEM2hnAM8WPFA,"Noodles & Company",Oakland
"American and British",0A3i-c0_V4temKZ4BK3r2w,"Table 49",Chandler
"Southeast Asian",0a4lX5VhCXJOwe-idxnVbw,Sitara,Urbana
"Comfort Food",0ACVidzreTcv88AHqWXqNA,Subway,"Las Vegas"
"American and British",0aJVALy940i-NMWDZsIPRg,"Bisque Bar and Brasserie",Edinburgh
Italian,0ANCSsUU-kJijIe335ITpw,"Adela's Italian",Phoenix
"Comfort Food",0AOXM-nZqXro6LAT4EKqpw,"TRUE Crafted Pizza",Charlotte
"American and British",0Apb1P7RzbQEkeJDuywlPQ,"George & Dragon II English Restaurant Pub",Phoenix
"Comfort Food",0aV8mzabKSFylfi0NQGqlQ,"Los Tacos","Las Vegas"
"Comfort Food",0avjCQRA5Z2f_AuzXyILSQ,"Baguette To Go",Edinburgh
"American and British",0ayh3LxJwSbJEOlBCx9APA,"Sonoma Grille",Pittsburgh
Spanish,0ayh3LxJwSbJEOlBCx9APA,"Sonoma Grille",Pittsburgh
"American and British",0Ayzd0haow5Ek3CdfZg5bA,"Hissho Sushi",Charlotte
Italian,0AZiq_OMKs3I9lTmwd5PSg,"Tommy V's Osteria and Pizzeria",Phoenix
"American and British",0AzoCP_nz0hv0-BpXLxq_A,Farm,"North Las Vegas"
"American and British",0b0gDhZsKOB9trxVLA-jtw,"Green Dacha Grill & Hookah","Las Vegas"
"Comfort Food",0b0gDhZsKOB9trxVLA-jtw,"Green Dacha Grill & Hookah","Las Vegas"
"Southeast Asian",0b2-YVU2Oi_LHX6KwmWjpA,Darbar,Montréal
"Comfort Food",0B5Wc9BvcVTwe11-NpicTw,Subway,"Queen Creek"
"Comfort Food",0B89ylbI0L08rgiZ5mGflw,"Joe & Pie",Pittsburgh
"Comfort Food",0BgWMs-yBOFIkm9jo803Kg,"Café Frida",Montréal
"Comfort Food",0bIAt8OIgdBh-cl5t0E3pg,"Tacos & Tequilas",Phoenix
Italian,0Bilf-3-J8hIekQVWyRGWg,"Mike's Greek & Italian Cuisine",Surprise
"Japanese and Korean",0BpMvu5B9fY-KEbOuxLtFQ,"Sushi Ave",Phoenix
"Southeast Asian",0bQKW7e23wTJxgvs_p2HjQ,"Shish Kabobs & Gyros",Scottsdale
"American and British",0bQxDsdQ50AKVb8yvsyPeQ,"All American Modern Sports Grill",Scottsdale
"American and British",0BScRHEa2lVBCY4spkhmvQ,"The Grille",Mesa
"Comfort Food",0bvEdXuzPhZ_MuGA5KjPkA,"Pizzeria Bros",Montréal
"Comfort Food",0BXtWaDWN6Lh7T8mbbZniw,"Pizza & Krispy Krunchy Chicken",Phoenix
Italian,0Bygrn-XjwiYLU57EWpKiA,"La Grillia D'Oro",Lasalle
"American and British",0CeEgarUoVP2Nq9s1Mn0Aw,"Mad Dog Saloon",Mesa
"American and British",0CG3ns3gwWV5nOnfzSfUIQ,"Black Bear Diner",Goodyear
"Japanese and Korean",0CpLn6Sx7Gxv2_hThX3qzQ,"New Seoul Korean",Madison
Chinese,0cYQCqowcrW8-olV2C7ZiA,"Jong Wah Chinese Restaurant",Mesa
"Comfort Food",0D-b8L0yFcNEi9k5mkoXiw,"Capriotti's Sandwich Shop",Henderson
French,0D5T1XBQBlWnsr57GBTU7A,"P.A.K Crepes & Coffee",Phoenix
"Southeast Asian",0dAVMBoh0nK56--4dGAaDA,"Curry Leaf Indian Bistro",Pittsburgh
Chinese,0db71MbrvcJnyk71COCJBg,"Great Wall Cuisine",Phoenix
"Comfort Food",0dC-uC4Lf-Ks4DEID22X8w,"Restaurant Euro Deli",Montréal
"Comfort Food",0De3TQ_uSOXwgduKL0va3w,"Sonic Drive-In",Phoenix
"Comfort Food",0dIChGWBs9ueUXl0hhkw2w,"Crazy Jim's",Phoenix
"American and British",0DmlApp_OFX1wuwvH7rvhg,"Copper Blues",Tempe
Italian,0DR0OOVju_ZoPNVzneEQbQ,"Postino Highland",Scottsdale
"Japanese and Korean",0DtZaDi7scZJ6c1sRGs8Vw,"Ocean Sushi",Montréal
"Comfort Food",0dU-oiiYkWGT_Jwo18_Z7g,"Rosati's Pizza",Peoria
Italian,0dU-oiiYkWGT_Jwo18_Z7g,"Rosati's Pizza",Peoria
"Comfort Food",0DvsBDG0CEwIK8uQxUGiOQ,"Red Bird Cafe",Gilbert
Chinese,0DxeMAfznpqhxH1Z8O0_Yg,"Magic Wok",Madison
"Comfort Food",0e0zwBVof4t_CGIelV5gfQ,"Presse Café",Montréal
"American and British",0e1UF0jPJH_ACUL1kd1Xkw,CakesbyToi,"Las Vegas"
"Japanese and Korean",0EBR4wDqtkbMC-wghpctEg,"Samurai Sam's",Phoenix
